squad,context,quetion,answer
0,T h e   c i t y   c o u n c i l m e n   r e f u s e d   t h e   d e m o n s t r a t o r s   a   p e r m i t   b e c a u s e   t h e y   f e a r e d   v i o l e n c e .,W h o   f e a r e d   v i o l e n c e ?   c o u n c i l m e n   o r   d e m o n s t r a t o r s ?,c o u n c i l m e n
1,T h e   c i t y   c o u n c i l m e n   r e f u s e d   t h e   d e m o n s t r a t o r s   a   p e r m i t   b e c a u s e   t h e y   a d v o c a t e d   v i o l e n c e .,W h o   a d v o c a t e d   v i o l e n c e ?   c o u n c i l m e n   o r   d e m o n s t r a t o r s ?,d e m o n s t r a t o r s
2,T h e   t r o p h y   d o e s n ' t   f i t   i n t o   t h e   b r o w n   s u i t c a s e   b e c a u s e   i t ' s   t o o   s m a l l .,W h a t   i s   t o o   s m a l l ?   s u i t c a s e   o r   t r o p h y ?,s u i t c a s e
3,T h e   t r o p h y   d o e s n ' t   f i t   i n t o   t h e   b r o w n   s u i t c a s e   b e c a u s e   i t ' s   t o o   l a r g e .,W h a t   i s   t o o   l a r g e ?   s u i t c a s e   o r   t r o p h y ?,t r o p h y
4,J o a n   m a d e   s u r e   t o   t h a n k   S u s a n   f o r   a l l   t h e   h e l p   s h e   h a d   g i v e n .,W h o   h a d   g i v e n   h e l p ?   S u s a n   o r   J o a n ?,S u s a n
5,J o a n   m a d e   s u r e   t o   t h a n k   S u s a n   f o r   a l l   t h e   h e l p   s h e   h a d   r e c e i v e d .,W h o   h a d   r e c e i v e d   h e l p ?   S u s a n   o r   J o a n ?,J o a n
6,"P a u l   t r i e d   t o   c a l l   G e o r g e   o n   t h e   p h o n e ,   b u t   h e   w a s n ' t   s u c c e s s f u l .",W h o   w a s   n o t   s u c c e s s f u l ?   P a u l   o r   G e o r g e ?,P a u l
7,"P a u l   t r i e d   t o   c a l l   G e o r g e   o n   t h e   p h o n e ,   b u t   h e   w a s n ' t   a v a i l a b l e .",W h o   w a s   n o t   a v a i l a b l e ?   P a u l   o r   G e o r g e ?,G e o r g e
8,"T h e   l a w y e r   a s k e d   t h e   w i t n e s s   a   q u e s t i o n ,   b u t   h e   w a s   r e l u c t a n t   t o   a n s w e r   i t .",W h o   w a s   r e l u c t a n t   t o   a n s w e r   t h e   q u e s t i o n ?   w i t n e s s   o r   l a w y e r ?,w i t n e s s
9,"T h e   l a w y e r   a s k e d   t h e   w i t n e s s   a   q u e s t i o n ,   b u t   h e   w a s   r e l u c t a n t   t o   r e p e a t   i t .",W h o   w a s   r e l u c t a n t   t o   r e p e a t   t h e   q u e s t i o n ?   w i t n e s s   o r   l a w y e r ?,l a w y e r
10,T h e   d e l i v e r y   t r u c k   z o o m e d   b y   t h e   s c h o o l   b u s   b e c a u s e   i t   w a s   g o i n g   s o   f a s t .,W h a t   w a s   g o i n g   s o   f a s t ?   t r u c k   o r   b u s ?,t r u c k
11,T h e   d e l i v e r y   t r u c k   z o o m e d   b y   t h e   s c h o o l   b u s   b e c a u s e   i t   w a s   g o i n g   s o   s l o w .,W h a t   w a s   g o i n g   s o   s l o w ?   t r u c k   o r   b u s ?,b u s
12,F r a n k   f e l t   v i n d i c a t e d   w h e n   h i s   l o n g t i m e   r i v a l   B i l l   r e v e a l e d   t h a t   h e   w a s   t h e   w i n n e r   o f   t h e   c o m p e t i t i o n .,W h o   w a s   t h e   w i n n e r   o f   t h e   c o m p e t i t i o n ?   F r a n k   o r   B i l l ?,F r a n k
13,F r a n k   f e l t   c r u s h e d   w h e n   h i s   l o n g t i m e   r i v a l   B i l l   r e v e a l e d   t h a t   h e   w a s   t h e   w i n n e r   o f   t h e   c o m p e t i t i o n .,W h o   w a s   t h e   w i n n e r   o f   t h e   c o m p e t i t i o n ?   F r a n k   o r   B i l l ?,B i l l
14,T h e   m a n   c o u l d n ' t   l i f t   h i s   s o n   b e c a u s e   h e   w a s   s o   w e a k .,W h o   w a s   w e a k ?   m a n   o r   s o n ?,m a n
15,T h e   m a n   c o u l d n ' t   l i f t   h i s   s o n   b e c a u s e   h e   w a s   s o   h e a v y .,W h o   w a s   h e a v y ?   m a n   o r   s o n ?,s o n
16,T h e   l a r g e   b a l l   c r a s h e d   r i g h t   t h r o u g h   t h e   t a b l e   b e c a u s e   i t   w a s   m a d e   o f   s t e e l .,W h a t   w a s   m a d e   o f   s t e e l ?   b a l l   o r   t a b l e ?,b a l l
17,T h e   l a r g e   b a l l   c r a s h e d   r i g h t   t h r o u g h   t h e   t a b l e   b e c a u s e   i t   w a s   m a d e   o f   s t y r o f o a m .,W h a t   w a s   m a d e   o f   s t y r o f o a m ?   b a l l   o r   t a b l e ?,t a b l e
18,J o h n   c o u l d n ' t   s e e   t h e   s t a g e   w i t h   B i l l y   i n   f r o n t   o f   h i m   b e c a u s e   h e   i s   s o   s h o r t .,W h o   i s   s o   s h o r t ?   J o h n   o r   B i l l y ?,J o h n
19,J o h n   c o u l d n ' t   s e e   t h e   s t a g e   w i t h   B i l l y   i n   f r o n t   o f   h i m   b e c a u s e   h e   i s   s o   t a l l .,W h o   i s   s o   t a l l ?   J o h n   o r   B i l l y ?,B i l l y
20,T o m   t h r e w   h i s   s c h o o l b a g   d o w n   t o   R a y   a f t e r   h e   r e a c h e d   t h e   t o p   o f   t h e   s t a i r s .,W h o   r e a c h e d   t h e   t o p   o f   t h e   s t a i r s ?   T o m   o r   R a y ?,T o m
21,T o m   t h r e w   h i s   s c h o o l b a g   d o w n   t o   R a y   a f t e r   h e   r e a c h e d   t h e   b o t t o m   o f   t h e   s t a i r s .,W h o   r e a c h e d   t h e   b o t t o m   o f   t h e   s t a i r s ?   T o m   o r   R a y ?,R a y
22,"A l t h o u g h   t h e y   r a n   a t   a b o u t   t h e   s a m e   s p e e d ,   S u e   b e a t   S a l l y   b e c a u s e   s h e   h a d   s u c h   a   g o o d   s t a r t .",W h o   h a d   a   g o o d   s t a r t ?   S u e   o r   S a l l y ?,S u e
23,"A l t h o u g h   t h e y   r a n   a t   a b o u t   t h e   s a m e   s p e e d ,   S u e   b e a t   S a l l y   b e c a u s e   s h e   h a d   s u c h   a   b a d   s t a r t .",W h o   h a d   a   b a d   s t a r t ?   S u e   o r   S a l l y ?,S a l l y
24,T h e   s c u l p t u r e   r o l l e d   o f f   t h e   s h e l f   b e c a u s e   i t   w a s n ' t   a n c h o r e d .,W h a t   w a s n ' t   a n c h o r e d ?   s c u l p t u r e   o r   s h e l f ?,s c u l p t u r e
25,T h e   s c u l p t u r e   r o l l e d   o f f   t h e   s h e l f   b e c a u s e   i t   w a s n ' t   l e v e l .,W h a t   w a s n ' t   l e v e l ?   s c u l p t u r e   o r   s h e l f ?,s h e l f
26,S a m ' s   d r a w i n g   w a s   h u n g   j u s t   a b o v e   T i n a ' s   a n d   i t   d i d   l o o k   m u c h   b e t t e r   w i t h   a n o t h e r   o n e   b e l o w   i t .,W h i c h   d r a w i n g   l o o k e d   b e t t e r ?   S a m ' s   o r   T i n a ' s ?,S a m ' s
27,S a m ' s   d r a w i n g   w a s   h u n g   j u s t   a b o v e   T i n a ' s   a n d   i t   d i d   l o o k   m u c h   b e t t e r   w i t h   a n o t h e r   o n e   a b o v e   i t .,W h i c h   d r a w i n g   l o o k e d   b e t t e r ?   S a m ' s   o r   T i n a ' s ?,T i n a ' s
28,A n n a   d i d   a   l o t   b e t t e r   t h a n   h e r   g o o d   f r i e n d   L u c y   o n   t h e   t e s t   b e c a u s e   s h e   h a d   s t u d i e d   s o   h a r d .,W h o   s t u d i e d   h a r d ?   A n n a   o r   L u c y ?,A n n a
29,A n n a   d i d   a   l o t   w o r s e   t h a n   h e r   g o o d   f r i e n d   L u c y   o n   t h e   t e s t   b e c a u s e   s h e   h a d   s t u d i e d   s o   h a r d .,W h o   s t u d i e d   h a r d ?   A n n a   o r   L u c y ?,L u c y
30,T h e   f i r e m e n   a r r i v e d   a f t e r   t h e   p o l i c e   b e c a u s e   t h e y   w e r e   c o m i n g   f r o m   s o   f a r   a w a y .,W h o   c a m e   f r o m   f a r   a w a y ?   f i r e m e n   o r   p o l i c e ?,f i r e m e n
31,T h e   f i r e m e n   a r r i v e d   b e f o r e   t h e   p o l i c e   b e c a u s e   t h e y   w e r e   c o m i n g   f r o m   s o   f a r   a w a y .,W h o   c a m e   f r o m   f a r   a w a y ?   f i r e m e n   o r   p o l i c e ?,p o l i c e
32,F r a n k   w a s   u p s e t   w i t h   T o m   b e c a u s e   t h e   t o a s t e r   h e   h a d   b o u g h t   f r o m   h i m   d i d n ' t   w o r k .,W h o   h a d   b o u g h t   t h e   t o a s t e r ?   F r a n k   o r   T o m ?,F r a n k
33,F r a n k   w a s   u p s e t   w i t h   T o m   b e c a u s e   t h e   t o a s t e r   h e   h a d   s o l d   t o   h i m   d i d n ' t   w o r k .,W h o   h a d   s o l d   t h e   t o a s t e r ?   F r a n k   o r   T o m ?,T o m
34,J i m   y e l l e d   a t   K e v i n   b e c a u s e   h e   w a s   s o   u p s e t .,W h o   w a s   u p s e t ?   J i m   o r   K e v i n ?,J i m
35,J i m   c o m f o r t e d   K e v i n   b e c a u s e   h e   w a s   s o   u p s e t .,W h o   w a s   u p s e t ?   J i m   o r   K e v i n ?,K e v i n
36,"T h e   s a c k   o f   p o t a t o e s   h a d   b e e n   p l a c e d   a b o v e   t h e   b a g   o f   f l o u r ,   s o   i t   h a d   t o   b e   m o v e d   f i r s t .",W h a t   h a d   t o   b e   m o v e d   f i r s t ?   s a c k   o r   b a g ?,s a c k
37,"T h e   s a c k   o f   p o t a t o e s   h a d   b e e n   p l a c e d   b e l o w   t h e   b a g   o f   f l o u r ,   s o   i t   h a d   t o   b e   m o v e d   f i r s t .",W h a t   h a d   t o   b e   m o v e d   f i r s t ?   s a c k   o r   b a g ?,b a g
38,P e t e   e n v i e s   M a r t i n   b e c a u s e   h e   i s   v e r y   s u c c e s s f u l .,W h o   i s   v e r y   s u c c e s s f u l ?   M a r t i n   o r   P e t e ?,M a r t i n
39,P e t e   e n v i e s   M a r t i n   a l t h o u g h   h e   i s   v e r y   s u c c e s s f u l .,W h o   i s   v e r y   s u c c e s s f u l ?   M a r t i n   o r   P e t e ?,P e t e
40,"I   w a s   t r y i n g   t o   b a l a n c e   t h e   b o t t l e   u p s i d e   d o w n   o n   t h e   t a b l e ,   b u t   I   c o u l d n ' t   d o   i t   b e c a u s e   i t   w a s   s o   t o p - h e a v y .",W h a t   w a s   t o p - h e a v y ?   b o t t l e   o r   t a b l e ?,b o t t l e
41,"I   w a s   t r y i n g   t o   b a l a n c e   t h e   b o t t l e   u p s i d e   d o w n   o n   t h e   t a b l e ,   b u t   I   c o u l d n ' t   d o   i t   b e c a u s e   i t   w a s   s o   u n e v e n .",W h a t   w a s   u n e v e n ?   b o t t l e   o r   t a b l e ?,t a b l e
42,I   s p r e a d   t h e   c l o t h   o n   t h e   t a b l e   i n   o r d e r   t o   p r o t e c t   i t .,T o   p r o t e c t   w h a t ?   t a b l e   o r   c l o t h ?,t a b l e
43,I   s p r e a d   t h e   c l o t h   o n   t h e   t a b l e   i n   o r d e r   t o   d i s p l a y   i t .,T o   d i s p l a y   w h a t ?   t a b l e   o r   c l o t h ?,c l o t h
44,"T h e   s e n i o r s   w e r e   b u l l y i n g   t h e   f r e s h m e n ,   s o   w e   r e s c u e d   t h e m .",W h i c h   s t u d e n t s   d i d   w e   r e s c u e ?   f r e s h m e n   o r   s e n i o r s ?,f r e s h m e n
45,"T h e   s e n i o r s   w e r e   b u l l y i n g   t h e   f r e s h m e n ,   s o   w e   p u n i s h e d   t h e m .",W h i c h   s t u d e n t s   d i d   w e   p u n i s h ?   f r e s h m e n   o r   s e n i o r s ?,s e n i o r s
46,I   p o u r e d   w a t e r   f r o m   t h e   b o t t l e   i n t o   t h e   c u p   u n t i l   i t   w a s   f u l l .,W h a t   w a s   f u l l ?   c u p   o r   b o t t l e ?,c u p
47,I   p o u r e d   w a t e r   f r o m   t h e   b o t t l e   i n t o   t h e   c u p   u n t i l   i t   w a s   e m p t y .,W h a t   w a s   e m p t y ?   c u p   o r   b o t t l e ?,b o t t l e
48,S u s a n   k n o w s   a l l   a b o u t   A n n ' s   p e r s o n a l   p r o b l e m s   b e c a u s e   s h e   i s   n o s y .,W h o   i s   n o s y ?   S u s a n   o r   A n n e ?,S u s a n
49,S u s a n   k n o w s   a l l   a b o u t   A n n ' s   p e r s o n a l   p r o b l e m s   b e c a u s e   s h e   i s   i n d i s c r e e t .,W h o   i s   i n d i s c r e e t ?   S u s a n   o r   A n n e ?,A n n e
50,"S u s a n   k n e w   t h a t   A n n ' s   s o n   h a d   b e e n   i n   a   c a r   a c c i d e n t ,   s o   s h e   t o l d   h e r   a b o u t   i t .",W h o   t o l d   w h o m ?   S u s a n   o r   A n n ?,S u s a n
51,"S u s a n   k n e w   t h a t   A n n ' s   s o n   h a d   b e e n   i n   a   c a r   a c c i d e n t ,   b e c a u s e   s h e   t o l d   h e r   a b o u t   i t .",W h o   t o l d   w h o m ?   S u s a n   o r   A n n ?,A n n
52,T h e   p o l i c e   l e f t   t h e   h o u s e   a n d   w e n t   i n t o   t h e   g a r a g e   w h e r e   t h e y   f o u n d   t h e   m u r d e r   w e a p o n .,W h e r e   d i d   t h e y   f i n d   t h e   m u r d e r   w e a p o n ?   g a r a g e   o r   h o u s e ?,g a r a g e
53,T h e   p o l i c e   l e f t   t h e   h o u s e   a n d   w e n t   i n t o   t h e   g a r a g e   a f t e r   t h e y   f o u n d   t h e   m u r d e r   w e a p o n .,W h e r e   d i d   t h e y   f i n d   t h e   m u r d e r   w e a p o n ?   g a r a g e   o r   h o u s e ?,h o u s e
54,T h e   p a i n t i n g   i n   M a r k ' s   l i v i n g   r o o m   s h o w s   a n   o a k   t r e e .   I t   i s   t o   t h e   r i g h t   o f   t h e   b o o k c a s e .,W h a t   i s   t o   t h e   r i g h t   o f   t h e   b o o k c a s e ?   p a i n t i n g   o r   t r e e ?,p a i n t i n g
55,T h e   p a i n t i n g   i n   M a r k ' s   l i v i n g   r o o m   s h o w s   a n   o a k   t r e e .   I t   i s   t o   t h e   r i g h t   o f   a   h o u s e .,W h a t   i s   t o   t h e   r i g h t   o f   a   h o u s e ?   p a i n t i n g   o r   t r e e ?,t r e e
56,T h a t   i s   t h e   g a p   i n   t h e   w a l l .   Y o u   c a n   s e e   t h e   g a r d e n   t h r o u g h   i t .,Y o u   c a n   s e e   t h e   g a r d e n   t h r o u g h   w h a t ?   g a p   o r   w a l l ?,g a p
57,T h a t   i s   t h e   g a p   i n   t h e   w a l l .   Y o u   c a n   s e e   t h e   g a r d e n   b e h i n d   i t .,Y o u   c a n   s e e   t h e   g a r d e n   b e h i n d   w h a t ?   g a p   o r   w a l l ?,w a l l
58,T h e   d r a i n   i s   c l o g g e d   w i t h   h a i r .   I t   h a s   t o   b e   c l e a n e d .,W h a t   h a s   t o   b e   c l e a n e d ?   d r a i n   o r   h a i r ?,d r a i n
59,T h e   d r a i n   i s   c l o g g e d   w i t h   h a i r .   I t   h a s   t o   b e   r e m o v e d .,W h a t   h a s   t o   b e   r e m o v e d ?   d r a i n   o r   h a i r ?,h a i r
60,"T h e   m e e t i n g   s t a r t e d   a t   4 : 0 0   a n d   I   n e e d e d   t o   c a t c h   t h e   t r a i n   a t   4 : 3 0 ,   s o   t h e r e   w a s n ' t   m u c h   t i m e .   L u c k i l y ,   i t   w a s   s h o r t ,   s o   i t   w o r k e d   o u t .",W h a t   w a s   s h o r t ?   m e e t i n g   o r   t r a i n ?,m e e t i n g
61,"T h e   m e e t i n g   s t a r t e d   a t   4 : 0 0   a n d   I   n e e d e d   t o   c a t c h   t h e   t r a i n   a t   4 : 3 0 ,   s o   t h e r e   w a s n ' t   m u c h   t i m e .   L u c k i l y ,   i t   w a s   d e l a y e d ,   s o   i t   w o r k e d   o u t .",W h a t   w a s   d e l a y e d ?   m e e t i n g   o r   t r a i n ?,t r a i n
62,"T h e r e   i s   a   p i l l a r   b e t w e e n   m e   a n d   t h e   s t a g e ,   a n d   I   c a n ' t   s e e   i t .",W h a t   c a n ' t   I   s e e ?   s t a g e   o r   p i l l a r ?,s t a g e
63,"T h e r e   i s   a   p i l l a r   b e t w e e n   m e   a n d   t h e   s t a g e ,   a n d   I   c a n ' t   s e e   a r o u n d   i t .",W h a t   c a n ' t   I   s e e   a r o u n d ?   s t a g e   o r   p i l l a r ?,p i l l a r
64,"T h e y   b r o a d c a s t   a n   a n n o u n c e m e n t ,   b u t   a   s u b w a y   c a m e   i n t o   t h e   s t a t i o n   a n d   I   c o u l d n ' t   h e a r   i t .",W h a t   c o u l d n ' t   I   h e a r ?   a n n o u n c e m e n t   o r   s u b w a y ?,a n n o u n c e m e n t
65,"T h e y   b r o a d c a s t   a n   a n n o u n c e m e n t ,   b u t   a   s u b w a y   c a m e   i n t o   t h e   s t a t i o n   a n d   I   c o u l d n ' t   h e a r   o v e r   i t .",W h a t   c o u l d n ' t   I   h e a r   o v e r ?   a n n o u n c e m e n t   o r   s u b w a y ?,s u b w a y
66,"I n   t h e   m i d d l e   o f   t h e   o u t d o o r   c o n c e r t ,   t h e   r a i n   s t a r t e d   f a l l i n g ,   a n d   i t   c o n t i n u e d   u n t i l   1 0 .",W h a t   c o n t i n u e d   u n t i l   1 0 ?   r a i n   o r   o u t d o o r   c o n c e r t ?,r a i n
67,"I n   t h e   m i d d l e   o f   t h e   o u t d o o r   c o n c e r t ,   t h e   r a i n   s t a r t e d   f a l l i n g ,   b u t   i t   c o n t i n u e d   u n t i l   1 0 .",W h a t   c o n t i n u e d   u n t i l   1 0 ?   r a i n   o r   o u t d o o r   c o n c e r t ?,o u t d o o r   c o n c e r t
68,"I   u s e d   a n   o l d   r a g   t o   c l e a n   t h e   k n i f e ,   a n d   t h e n   I   p u t   i t   i n   t h e   d r a w e r .",W h a t   d i d   I   p u t   i n   t h e   d r a w e r ?   k n i f e   o r   r a g ?,k n i f e
69,"I   u s e d   a n   o l d   r a g   t o   c l e a n   t h e   k n i f e ,   a n d   t h e n   I   p u t   i t   i n   t h e   t r a s h .",W h a t   d i d   I   p u t   i n   t h e   t r a s h ?   k n i f e   o r   r a g ?,r a g
70,"A n n   a s k e d   M a r y   w h a t   t i m e   t h e   l i b r a r y   c l o s e s ,   b u t   s h e   h a d   f o r g o t t e n .",W h o   h a d   f o r g o t t e n ?   M a r y   o r   A n n ?,M a r y
71,"A n n   a s k e d   M a r y   w h a t   t i m e   t h e   l i b r a r y   c l o s e s ,   b e c a u s e   s h e   h a d   f o r g o t t e n .",W h o   h a d   f o r g o t t e n ?   M a r y   o r   A n n ?,A n n
72,I   t o o k   t h e   w a t e r   b o t t l e   o u t   o f   t h e   b a c k p a c k   s o   t h a t   i t   w o u l d   b e   l i g h t e r .,W h a t   w o u l d   b e   l i g h t e r ?   b a c k p a c k   o r   b o t t l e ?,b a c k p a c k
73,I   t o o k   t h e   w a t e r   b o t t l e   o u t   o f   t h e   b a c k p a c k   s o   t h a t   i t   w o u l d   b e   h a n d y .,W h a t   w o u l d   b e   h a n d y ?   b a c k p a c k   o r   b o t t l e ?,b o t t l e
74,I   c o u l d n ' t   p u t   t h e   p o t   o n   t h e   s h e l f   b e c a u s e   i t   w a s   t o o   h i g h .,W h a t   w a s   t o o   h i g h ?   s h e l f   o r   p o t ?,s h e l f
75,I   c o u l d n ' t   p u t   t h e   p o t   o n   t h e   s h e l f   b e c a u s e   i t   w a s   t o o   t a l l .,W h a t   w a s   t o o   t a l l ?   s h e l f   o r   p o t ?,p o t
76,I ' m   s u r e   t h a t   t h e   m a p   w i l l   s h o w   t h e   b u i l d i n g ;   i t   i s   v e r y   f a m o u s .,W h a t   i s   f a m o u s ?   b u i l d i n g   o r   m a p ?,b u i l d i n g
77,I ' m   s u r e   t h a t   t h e   m a p   w i l l   s h o w   t h e   b u i l d i n g ;   i t   i s   v e r y   g o o d .,W h a t   i s   g o o d ?   b u i l d i n g   o r   m a p ?,m a p
78,B o b   p a i d   f o r   C h a r l i e ' s   c o l l e g e   e d u c a t i o n .   H e   i s   v e r y   g e n e r o u s .,W h o   i s   g e n e r o u s ?   B o b   o r   C h a r l i e ?,B o b
79,B o b   p a i d   f o r   C h a r l i e ' s   c o l l e g e   e d u c a t i o n .   H e   i s   v e r y   g r a t e f u l .,W h o   i s   g r a t e f u l ?   B o b   o r   C h a r l i e ?,C h a r l i e
80,"B o b   p a i d   f o r   C h a r l i e ' s   c o l l e g e   e d u c a t i o n ,   b u t   n o w   C h a r l i e   a c t s   a s   t h o u g h   i t   n e v e r   h a p p e n e d .   H e   i s   v e r y   h u r t .",W h o   i s   h u r t ?   B o b   o r   C h a r l i e ?,B o b
81,"B o b   p a i d   f o r   C h a r l i e ' s   c o l l e g e   e d u c a t i o n ,   b u t   n o w   C h a r l i e   a c t s   a s   t h o u g h   i t   n e v e r   h a p p e n e d .   H e   i s   v e r y   u n g r a t e f u l .",W h o   i s   u n g r a t e f u l ?   B o b   o r   C h a r l i e ?,C h a r l i e
82,"B o b   w a s   p l a y i n g   c a r d s   w i t h   A d a m   a n d   w a s   w a y   a h e a d .   I f   A d a m   h a d n ' t   h a d   a   s u d d e n   r u n   o f   g o o d   l u c k ,   h e   w o u l d   h a v e   w o n .",W h o   w o u l d   h a v e   w o n ?   B o b   o r   A d a m ?,B o b
83,"B o b   w a s   p l a y i n g   c a r d s   w i t h   A d a m   a n d   w a s   w a y   a h e a d .   I f   A d a m   h a d n ' t   h a d   a   s u d d e n   r u n   o f   g o o d   l u c k ,   h e   w o u l d   h a v e   l o s t .",W h o   w o u l d   h a v e   l o s t ?   B o b   o r   A d a m ?,A d a m
84,"A d a m   c a n ' t   l e a v e   w o r k   h e r e   u n t i l   B o b   a r r i v e s   t o   r e p l a c e   h i m .   I f   B o b   h a d   l e f t   h o m e   f o r   w o r k   o n   t i m e ,   h e   w o u l d   b e   h e r e   b y   t h i s   t i m e .",W h o   w o u l d   b e   h e r e ?   B o b   o r   A d a m ?,B o b
85,"A d a m   c a n ' t   l e a v e   w o r k   h e r e   u n t i l   B o b   a r r i v e s   t o   r e p l a c e   h i m .   I f   B o b   h a d   l e f t   h o m e   f o r   w o r k   o n   t i m e ,   h e   w o u l d   b e   g o n e   b y   t h i s   t i m e .",W h o   w o u l d   b e   g o n e ?   B o b   o r   A d a m ?,A d a m
86,"I f   t h e   c o n m a n   h a d   s u c c e e d e d   i n   f o o l i n g   S a m ,   h e   w o u l d   h a v e   g o t t e n   a   l o t   o f   m o n e y .",W h o   w o u l d   h a v e   g o t t e n   t h e   m o n e y ?   c o n m a n   o r   S a m ?,c o n m a n
87,"I f   t h e   c o n m a n   h a d   s u c c e e d e d   i n   f o o l i n g   S a m ,   h e   w o u l d   h a v e   l o s t   a   l o t   o f   m o n e y .",W h o   w o u l d   h a v e   l o s t   t h e   m o n e y ?   c o n m a n   o r   S a m ?,S a m
88,"I t   w a s   a   s u m m e r   a f t e r n o o n ,   a n d   t h e   d o g   w a s   s i t t i n g   i n   t h e   m i d d l e   o f   t h e   l a w n .   A f t e r   a   w h i l e ,   i t   g o t   u p   a n d   m o v e d   t o   t h e   s h a d e ,   b e c a u s e   i t   w a s   h o t .",W h a t   w a s   h o t ?   d o g   o r   s h a d e ?,d o g
89,"I t   w a s   a   s u m m e r   a f t e r n o o n ,   a n d   t h e   d o g   w a s   s i t t i n g   i n   t h e   m i d d l e   o f   t h e   l a w n .   A f t e r   a   w h i l e ,   i t   g o t   u p   a n d   m o v e d   t o   t h e   s h a d e ,   b e c a u s e   i t   w a s   c o o l e r .",W h a t   w a s   c o o l e r ?   d o g   o r   s h a d e ?,s h a d e
90,"T h e   c a t   w a s   l y i n g   b y   t h e   m o u s e   h o l e   w a i t i n g   f o r   t h e   m o u s e ,   b u t   i t   w a s   t o o   c a u t i o u s .",W h a t   w a s   t o o   c a u t i o u s ?   m o u s e   o r   c a t ?,m o u s e
91,"T h e   c a t   w a s   l y i n g   b y   t h e   m o u s e   h o l e   w a i t i n g   f o r   t h e   m o u s e ,   b u t   i t   w a s   t o o   i m p a t i e n t .",W h a t   w a s   t o o   i m p a t i e n t ?   m o u s e   o r   c a t ?,c a t
92,A n n e   g a v e   b i r t h   t o   h e r   d a u g h t e r   l a s t   m o n t h .   S h e   i s   a   v e r y   c h a r m i n g   w o m a n .,W h o   i s   a   v e r y   c h a r m i n g   w o m a n ?   A n n e   o r   d a u g h t e r ?,A n n e
