squad,context,quetion,answer
171,"T h e r e   a r e   t o o   m a n y   d e e r   i n   t h e   p a r k ,   s o   t h e   p a r k   s e r v i c e   b r o u g h t   i n   a   s m a l l   p a c k   o f   w o l v e s .   T h e   p o p u l a t i o n   s h o u l d   d e c r e a s e   o v e r   t h e   n e x t   f e w   y e a r s .",W h i c h   p o p u l a t i o n   w i l l   d e c r e a s e ?   w o l v e s   o r   d e e r ?,d e e r
172,"T h e   a r c h a e o l o g i s t s   h a v e   c o n c l u d e d   t h a t   n e a n d e r t h a l s   l i v e d   i n   L a p u t a   2 0 , 0 0 0   y e a r s   a g o .   T h e y   h u n t e d   f o r   d e e r   o n   t h e   r i v e r   b a n k s .",W h o   h u n t e d   f o r   d e e r ?   n e a n d e r t h a l s   o r   a r c h a e o l o g i s t s ?,n e a n d e r t h a l s
173,"T h e   a r c h a e o l o g i s t s   h a v e   c o n c l u d e d   t h a t   n e a n d e r t h a l s   l i v e d   i n   L a p u t a   2 0 , 0 0 0   y e a r s   a g o .   T h e y   h u n t e d   f o r   e v i d e n c e   o n   t h e   r i v e r   b a n k s .",W h o   h u n t e d   f o r   e v i d e n c e ?   n e a n d e r t h a l s   o r   a r c h a e o l o g i s t s ?,a r c h a e o l o g i s t s
174,T h e   s c i e n t i s t s   a r e   s t u d y i n g   t h r e e   s p e c i e s   o f   f i s h   t h a t   h a v e   r e c e n t l y   b e e n   f o u n d   l i v i n g   i n   t h e   I n d i a n   O c e a n .   T h e y   a p p e a r e d   t w o   y e a r s   a g o .,W h o   o r   w h a t   a p p e a r e d   t w o   y e a r s   a g o ?   f i s h   o r   s c i e n t i s t s ?,f i s h
175,T h e   s c i e n t i s t s   a r e   s t u d y i n g   t h r e e   s p e c i e s   o f   f i s h   t h a t   h a v e   r e c e n t l y   b e e n   f o u n d   l i v i n g   i n   t h e   I n d i a n   O c e a n .   T h e y   b e g a n   t w o   y e a r s   a g o .,W h o   o r   w h a t   b e g a n   t w o   y e a r s   a g o ?   f i s h   o r   s c i e n t i s t s ?,s c i e n t i s t s
176,"T h e   j o u r n a l i s t s   i n t e r v i e w e d   t h e   s t a r s   o f   t h e   n e w   m o v i e .   T h e y   w e r e   v e r y   c o o p e r a t i v e ,   s o   t h e   i n t e r v i e w   l a s t e d   f o r   a   l o n g   t i m e .",W h o   w a s   c o o p e r a t i v e ?   s t a r s   o r   j o u r n a l i s t s ?,s t a r s
177,"T h e   j o u r n a l i s t s   i n t e r v i e w e d   t h e   s t a r s   o f   t h e   n e w   m o v i e .   T h e y   w e r e   v e r y   p e r s i s t e n t ,   s o   t h e   i n t e r v i e w   l a s t e d   f o r   a   l o n g   t i m e .",W h o   w a s   p e r s i s t e n t ?   s t a r s   o r   j o u r n a l i s t s ?,j o u r n a l i s t s
178,T h e   p o l i c e   a r r e s t e d   a l l   o f   t h e   c r i m i n a l s .   T h e y   w e r e   t r y i n g   t o   r u n   t h e   d r u g   t r a d e   i n   t h e   n e i g h b o r h o o d .,W h o   w a s   t r y i n g   t o   r u n   t h e   d r u g   t r a d e ?   c r i m i n a l s   o r   p o l i c e ?,c r i m i n a l s
179,T h e   p o l i c e   a r r e s t e d   a l l   o f   t h e   c r i m i n a l s .   T h e y   w e r e   t r y i n g   t o   s t o p   t h e   d r u g   t r a d e   i n   t h e   n e i g h b o r h o o d .,W h o   w a s   t r y i n g   t o   s t o p   t h e   d r u g   t r a d e ?   c r i m i n a l s   o r   p o l i c e ?,p o l i c e
180,I   p u t   t h e   c a k e   a w a y   i n   t h e   r e f r i g e r a t o r .   I t   h a s   a   l o t   o f   b u t t e r   i n   i t .,W h a t   h a s   a   l o t   o f   b u t t e r ?   c a k e   o r   r e f r i g e r a t o r ?,c a k e
181,I   p u t   t h e   c a k e   a w a y   i n   t h e   r e f r i g e r a t o r .   I t   h a s   a   l o t   o f   l e f t o v e r s   i n   i t .,W h a t   h a s   a   l o t   o f   l e f t o v e r s ?   c a k e   o r   r e f r i g e r a t o r ?,r e f r i g e r a t o r
182,S a m   b r o k e   b o t h   h i s   a n k l e s   a n d   h e ' s   w a l k i n g   w i t h   c r u t c h e s .   B u t   a   m o n t h   o r   s o   f r o m   n o w   t h e y   s h o u l d   b e   b e t t e r .,W h a t   s h o u l d   b e   b e t t e r ?   a n k l e s   o r   c r u t c h e s ?,a n k l e s
183,S a m   b r o k e   b o t h   h i s   a n k l e s   a n d   h e ' s   w a l k i n g   w i t h   c r u t c h e s .   B u t   a   m o n t h   o r   s o   f r o m   n o w   t h e y   s h o u l d   b e   u n n e c e s s a r y .,W h a t   s h o u l d   b e   u n n e c e s s a r y ?   a n k l e s   o r   c r u t c h e s ?,c r u t c h e s
184,"W h e n   t h e   s p o n s o r s   o f   t h e   b i l l   g o t   t o   t h e   t o w n   h a l l ,   t h e y   w e r e   s u r p r i s e d   t o   f i n d   t h a t   t h e   r o o m   w a s   f u l l   o f   o p p o n e n t s .   T h e y   w e r e   v e r y   m u c h   i n   t h e   m a j o r i t y .",W h o   w e r e   i n   t h e   m a j o r i t y ?   o p p o n e n t s   o r   s p o n s o r s ?,o p p o n e n t s
185,"W h e n   t h e   s p o n s o r s   o f   t h e   b i l l   g o t   t o   t h e   t o w n   h a l l ,   t h e y   w e r e   s u r p r i s e d   t o   f i n d   t h a t   t h e   r o o m   w a s   f u l l   o f   o p p o n e n t s .   T h e y   w e r e   v e r y   m u c h   i n   t h e   m i n o r i t y .",W h o   w e r e   i n   t h e   m i n o r i t y ?   o p p o n e n t s   o r   s p o n s o r s ?,s p o n s o r s
186,"E v e r y o n e   r e a l l y   l o v e d   t h e   o a t m e a l   c o o k i e s ;   o n l y   a   f e w   p e o p l e   l i k e d   t h e   s n i c k e r d o o d l e   c o o k i e s .   N e x t   t i m e ,   w e   s h o u l d   m a k e   m o r e   o f   t h e m .","W h i c h   c o o k i e   s h o u l d   w e   m a k e   m o r e   o f ,   n e x t   t i m e ?   o a t m e a l   o r   s n i c k e r d o o d l e ?",o a t m e a l
187,"E v e r y o n e   r e a l l y   l o v e d   t h e   o a t m e a l   c o o k i e s ;   o n l y   a   f e w   p e o p l e   l i k e d   t h e   s n i c k e r d o o d l e   c o o k i e s .   N e x t   t i m e ,   w e   s h o u l d   m a k e   f e w e r   o f   t h e m .","W h i c h   c o o k i e   s h o u l d   w e   m a k e   f e w e r   o f ,   n e x t   t i m e ?   o a t m e a l   o r   s n i c k e r d o o d l e ?",s n i c k e r d o o d l e
188,"W e   h a d   h o p e d   t o   p l a c e   c o p i e s   o n   a l l   t h e   c h a i r s   i n   t h e   a u d i t o r i u m ,   b u t   t h e r e   w e r e   s i m p l y   n o t   e n o u g h   o f   t h e m .",T h e r e   a r e   t o o   m a n y   o f   w h a t ?   c h a i r s   o r   c o p i e s ?,c h a i r s
189,"W e   h a d   h o p e d   t o   p l a c e   c o p i e s   o n   a l l   t h e   c h a i r s   i n   t h e   a u d i t o r i u m ,   b u t   t h e r e   w e r e   s i m p l y   t o o   m a n y   o f   t h e m .",T h e r e   a r e   n o t   e n o u g h   o f   w h a t ?   c h a i r s   o r   c o p i e s ?,c o p i e s
190,"I   s t u c k   a   p i n   t h r o u g h   a   c a r r o t .   W h e n   I   p u l l e d   t h e   p i n   o u t ,   i t   l e f t   a   h o l e .",W h a t   l e f t   a   h o l e ?   p i n   o r   c a r r o t ?,p i n
191,"I   s t u c k   a   p i n   t h r o u g h   a   c a r r o t .   W h e n   I   p u l l e d   t h e   p i n   o u t ,   i t   h a d   a   h o l e .",W h a t   h a d   a   h o l e ?   p i n   o r   c a r r o t ?,c a r r o t
192,"I   c o u l d n ' t   f i n d   a   s p o o n ,   s o   I   t r i e d   u s i n g   a   p e n   t o   s t i r   m y   c o f f e e .   B u t   t h a t   t u r n e d   o u t   t o   b e   a   b a d   i d e a ,   b e c a u s e   i t   g o t   f u l l   o f   i n k .",W h a t   g o t   f u l l   o f   i n k ?   c o f f e e   o r   p e n ?,c o f f e e
193,"I   c o u l d n ' t   f i n d   a   s p o o n ,   s o   I   t r i e d   u s i n g   a   p e n   t o   s t i r   m y   c o f f e e .   B u t   t h a t   t u r n e d   o u t   t o   b e   a   b a d   i d e a ,   b e c a u s e   i t   g o t   f u l l   o f   c o f f e e .",W h a t   g o t   f u l l   o f   c o f f e e ?   c o f f e e   o r   p e n ?,p e n
194,T h e   t a b l e   w o n ' t   f i t   t h r o u g h   t h e   d o o r w a y   b e c a u s e   i t   i s   t o o   w i d e .,W h a t   i s   t o o   w i d e ?   t a b l e   o r   d o o r w a y ?,t a b l e
195,T h e   t a b l e   w o n ' t   f i t   t h r o u g h   t h e   d o o r w a y   b e c a u s e   i t   i s   t o o   n a r r o w .,W h a t   i s   t o o   n a r r o w ?   t a b l e   o r   d o o r w a y ?,d o o r w a y
196,G r a c e   w a s   h a p p y   t o   t r a d e   m e   h e r   s w e a t e r   f o r   m y   j a c k e t .   S h e   t h i n k s   i t   l o o k s   g r e a t   o n   h e r .,W h a t   l o o k s   g r e a t   o n   G r a c e ?   j a c k e t   o r   s w e a t e r ?,j a c k e t
197,G r a c e   w a s   h a p p y   t o   t r a d e   m e   h e r   s w e a t e r   f o r   m y   j a c k e t .   S h e   t h i n k s   i t   l o o k s   d o w d y   o n   h e r .,W h a t   l o o k s   d o w d y   o n   G r a c e ?   j a c k e t   o r   s w e a t e r ?,s w e a t e r
198,B i l l   t h i n k s   t h a t   c a l l i n g   a t t e n t i o n   t o   h i m s e l f   w a s   r u d e   t o   B e r t .,W h o   c a l l e d   a t t e n t i o n   t o   h i m s e l f ?   B i l l   o r   B e r t ?,B i l l
199,B i l l   t h i n k s   t h a t   c a l l i n g   a t t e n t i o n   t o   h i m s e l f   w a s   r u d e   o f   B e r t .,W h o   c a l l e d   a t t e n t i o n   t o   h i m s e l f ?   B i l l   o r   B e r t ?,B e r t
200,"J o h n   p r o m i s e d   B i l l   t o   l e a v e ,   s o   a n   h o u r   l a t e r   h e   l e f t .",W h o   l e f t ?   J o h n   o r   B i l l ?,J o h n
201,"J o h n   o r d e r e d   B i l l   t o   l e a v e ,   s o   a n   h o u r   l a t e r   h e   l e f t .",W h o   l e f t ?   J o h n   o r   B i l l ?,B i l l
202,S a m   G o o d m a n ' s   b i o g r a p h y   o f   t h e   S p a r t a n   g e n e r a l   X e n o p h a n e s   c o n v e y s   a   v i v i d   s e n s e   o f   t h e   d i f f i c u l t i e s   h e   f a c e d   i n   h i s   c h i l d h o o d .,W h o   f a c e d   d i f f i c u l t i e s ?   X e n o p h a n e s   o r   S a m ?,X e n o p h a n e s
203,S a m   G o o d m a n ' s   b i o g r a p h y   o f   t h e   S p a r t a n   g e n e r a l   X e n o p h a n e s   c o n v e y s   a   v i v i d   s e n s e   o f   t h e   d i f f i c u l t i e s   h e   f a c e d   i n   h i s   r e s e a r c h .,W h o   f a c e d   d i f f i c u l t i e s ?   X e n o p h a n e s   o r   S a m ?,S a m
204,"E m m a ' s   m o t h e r   h a d   d i e d   l o n g   a g o ,   a n d   h e r   p l a c e   b y   a n   e x c e l l e n t   w o m a n   a s   g o v e r n e s s .",W h o s e   p l a c e ?   m o t h e r ' s   o r   E m m a ' s ?,m o t h e r ' s
205,"E m m a ' s   m o t h e r   h a d   d i e d   l o n g   a g o ,   a n d   h e r   e d u c a t i o n ]   h a d   b e e n   [ t a k e n   b y   a n   e x c e l l e n t   w o m a n   a s   g o v e r n e s s .",W h o s e   e d u c a t i o n ]   h a d   b e e n   [ t a k e n ?   m o t h e r ' s   o r   E m m a ' s ?,E m m a ' s
206,J a n e   k n o c k e d   o n   S u s a n ' s   d o o r   b u t   s h e   d i d   n o t   a n s w e r .,W h o   d i d   n o t   a n s w e r ?   S u s a n   o r   J a n e ?,S u s a n
207,J a n e   k n o c k e d   o n   S u s a n ' s   d o o r   b u t   s h e   d i d   n o t   g e t   a n   a n s w e r .,W h o   d i d   n o t   g e t   a n   a n s w e r ?   S u s a n   o r   J a n e ?,J a n e
208,J o e   p a i d   t h e   d e t e c t i v e   a f t e r   h e   r e c e i v e d   t h e   f i n a l   r e p o r t   o n   t h e   c a s e .,W h o   r e c e i v e d   t h e   f i n a l   r e p o r t ?   J o e   o r     d e t e c t i v e ?,J o e
209,J o e   p a i d   t h e   d e t e c t i v e   a f t e r   h e   d e l i v e r e d   t h e   f i n a l   r e p o r t   o n   t h e   c a s e .,W h o   d e l i v e r e d   t h e   f i n a l   r e p o r t ?   J o e   o r     d e t e c t i v e ?,  d e t e c t i v e
210,"B e t h   d i d n ' t   g e t   a n g r y   w i t h   S a l l y ,   w h o   h a d   c u t   h e r   o f f ,   b e c a u s e   s h e   s t o p p e d   a n d   c o u n t e d   t o   t e n .",W h o   c o u n t e d   t o   t e n ?   B e t h   o r   S a l l y ?,B e t h
211,"B e t h   d i d n ' t   g e t   a n g r y   w i t h   S a l l y ,   w h o   h a d   c u t   h e r   o f f ,   b e c a u s e   s h e   s t o p p e d   a n d   a p o l o g i z e d .",W h o   a p o l o g i z e d ?   B e t h   o r   S a l l y ?,S a l l y
212,J i m   s i g n a l e d   t h e   b a r m a n   a n d   g e s t u r e d   t o w a r d   h i s   e m p t y   g l a s s .,W h o s e   e m p t y   g l a s s ?   J i m ' s   o r     b a r m a n ' s ?,J i m ' s
213,J i m   s i g n a l e d   t h e   b a r m a n   a n d   g e s t u r e d   t o w a r d   h i s   b a t h r o o m   k e y .,W h o s e   b a t h r o o m   k e y ?   J i m ' s   o r     b a r m a n ' s ?,  b a r m a n ' s
214,"D a n   t o o k   t h e   r e a r   s e a t   w h i l e   B i l l   c l a i m e d   t h e   f r o n t   b e c a u s e   h i s   "" D i b s ! ""   w a s   q u i c k e r .","W h o s e   "" D i b s ""   w a s   q u i c k e r ?   B i l l ' s   o r   D a n ' s ?",B i l l ' s
215,"D a n   t o o k   t h e   r e a r   s e a t   w h i l e   B i l l   c l a i m e d   t h e   f r o n t   b e c a u s e   h i s   "" D i b s ! ""   w a s   s l o w .","W h o s e   "" D i b s ""   w a s   s l o w ?   B i l l ' s   o r   D a n ' s ?",D a n ' s
216,"T o m   s a i d   "" C h e c k ""   t o   R a l p h   a s   h e   t o o k   h i s   b i s h o p .",W h o   o w n e d   t h e   b i s h o p   t h a t   T o m   t o o k ?   R a l p h   o r   T o m ?,R a l p h
217,"T o m   s a i d   "" C h e c k ""   t o   R a l p h   a s   h e   m o v e d   h i s   b i s h o p .",W h o   o w n e d   t h e   b i s h o p   t h a t   T o m   m o v e d ?   R a l p h   o r   T o m ?,T o m
218,"A s   A n d r e a   i n   t h e   c r o p   d u s t e r   p a s s e d   o v e r   S u s a n ,   s h e   c o u l d   s e e   t h e   l a n d i n g   s t r i p .",W h o   c o u l d   s e e   t h e   l a n d i n g   s t r i p ?   A n d r e a   o r   S u s a n ?,A n d r e a
219,"A s   A n d r e a   i n   t h e   c r o p   d u s t e r   p a s s e d   o v e r   S u s a n ,   s h e   c o u l d   s e e   t h e   l a n d i n g   g e a r .",W h o   c o u l d   s e e   t h e   l a n d i n g   g e a r ?   A n d r e a   o r   S u s a n ?,S u s a n
220,T o m   g a v e   R a l p h   a   l i f t   t o   s c h o o l   s o   h e   w o u l d n ' t   h a v e   t o   w a l k .,W h o   w o u l d n ' t   h a v e   t o   w a l k ?   R a l p h   o r   T o m ?,R a l p h
221,T o m   g a v e   R a l p h   a   l i f t   t o   s c h o o l   s o   h e   w o u l d n ' t   h a v e   t o   d r i v e   a l o n e .,W h o   w o u l d n ' t   h a v e   t o   d r i v e   a l o n e ?   R a l p h   o r   T o m ?,T o m
222,B i l l   p a s s e d   t h e   h a l f - e m p t y   p l a t e   t o   J o h n   b e c a u s e   h e   w a s   f u l l .,W h o   w a s   f u l l ?   B i l l   o r   J o h n ?,B i l l
223,B i l l   p a s s e d   t h e   h a l f - e m p t y   p l a t e   t o   J o h n   b e c a u s e   h e   w a s   h u n g r y .,W h o   w a s   h u n g r y ?   B i l l   o r   J o h n ?,J o h n
224,B i l l   p a s s e d   t h e   g a m e b o y   t o   J o h n   b e c a u s e   h i s   t u r n   w a s   o v e r .,W h o s e   t u r n   w a s   o v e r ?   B i l l ' s   o r   J o h n ' s ?,B i l l ' s
225,B i l l   p a s s e d   t h e   g a m e b o y   t o   J o h n   b e c a u s e   h i s   t u r n   w a s   n e x t .,W h o s e   t u r n   w a s   n e x t ?   B i l l ' s   o r   J o h n ' s ?,J o h n ' s
226,T h e   m a n   l i f t e d   t h e   b o y   o n t o   h i s   b u n k   b e d .,W h o s e   b u n k   b e d ?   b o y ' s   o r   m a n ' s ?,b o y ' s
227,T h e   m a n   l i f t e d   t h e   b o y   o n t o   h i s   s h o u l d e r s .,W h o s e   s h o u l d e r s ?   b o y ' s   o r   m a n ' s ?,m a n ' s
228,"P a t t i n g   h e r   b a c k ,   t h e   w o m a n   s m i l e d   a t   t h e   g i r l .",W h o s e   b a c k   w a s   t h e   w o m a n   p a t t i n g ?   g i r l ' s   o r   w o m a n ' s ?,g i r l ' s
229,"S t r e t c h i n g   h e r   b a c k ,   t h e   w o m a n   s m i l e d   a t   t h e   g i r l .",W h o s e   b a c k   w a s   t h e   w o m a n   s t r e t c h i n g ?   g i r l ' s   o r   w o m a n ' s ?,w o m a n ' s
230,B i l l y   c r i e d   b e c a u s e   T o b y   w o u l d n ' t   s h a r e   h i s   t o y .,W h o   o w n e d   t h e   t o y ?   T o b y   o r   B i l l y ?,T o b y
231,B i l l y   c r i e d   b e c a u s e   T o b y   w o u l d n ' t   a c c e p t   h i s   t o y .,W h o   o w n e d   t h e   t o y ?   T o b y   o r   B i l l y ?,B i l l y
232,"L i l y   s p o k e   t o   D o n n a ,   b r e a k i n g   h e r   c o n c e n t r a t i o n .",W h o s e   c o n c e n t r a t i o n ?   D o n n a ' s   o r     L i l y ' s ?,D o n n a ' s
233,"L i l y   s p o k e   t o   D o n n a ,   b r e a k i n g   h e r   s i l e n c e .",W h o s e   s i l e n c e ?   D o n n a ' s   o r     L i l y ' s ?,  L i l y ' s
234,"W h e n   T o m m y   d r o p p e d   h i s   i c e   c r e a m ,   T i m m y   g i g g l e d ,   s o   f a t h e r   g a v e   h i m   a   s t e r n   l o o k .",W h o   g o t   t h e   l o o k   f r o m   f a t h e r ?   T i m m y   o r   T o m m y ?,T i m m y
235,"W h e n   T o m m y   d r o p p e d   h i s   i c e   c r e a m ,   T i m m y   g i g g l e d ,   s o   f a t h e r   g a v e   h i m   a   s y m p a t h e t i c   l o o k .",W h o   g o t   t h e   l o o k   f r o m   f a t h e r ?   T i m m y   o r   T o m m y ?,T o m m y
236,"A s   O l l i e   c a r r i e d   T o m m y   u p   t h e   l o n g   w i n d i n g   s t e p s ,   h i s   l e g s   d a n g l e d .",W h o s e   l e g s   d a n g l e d ?   T o m m y   o r   O l l i e ?,T o m m y
237,"A s   O l l i e   c a r r i e d   T o m m y   u p   t h e   l o n g   w i n d i n g   s t e p s ,   h i s   l e g s   a c h e d .",W h o s e   l e g s   a c h e d ?   T o m m y   o r   O l l i e ?,O l l i e
238,T h e   f a t h e r   c a r r i e d   t h e   s l e e p i n g   b o y   i n   h i s   a r m s .,W h o s e   a r m s ?   f a t h e r   o r   b o y ?,f a t h e r
239,T h e   f a t h e r   c a r r i e d   t h e   s l e e p i n g   b o y   i n   h i s   b a s s i n e t .,W h o s e   b a s s i n e t ?   f a t h e r   o r   b o y ?,b o y
240,T h e   w o m a n   h e l d   t h e   g i r l   a g a i n s t   h e r   c h e s t .,W h o s e   c h e s t ?   w o m a n ' s   o r   g i r l ' s ?,w o m a n ' s
241,T h e   w o m a n   h e l d   t h e   g i r l   a g a i n s t   h e r   w i l l .,W h o s e   w i l l ?   w o m a n ' s   o r   g i r l ' s ?,g i r l ' s
242,T h e   d o c t o r   i n f o r m e d   K a t e   t h a t   s h e   h a d   c a n c e r   a n d   p r e s e n t e d   s e v e r a l   o p t i o n s   f o r   f u t u r e   t r e a t m e n t .,W h o   h a d   c a n c e r ?   K a t e   o r   d o c t o r ?,K a t e
243,T h e   d o c t o r   i n f o r m e d   K a t e   t h a t   s h e   h a d   r e t i r e d   a n d   p r e s e n t e d   s e v e r a l   o p t i o n s   f o r   f u t u r e   t r e a t m e n t .,W h o   h a d   r e t i r e d ?   K a t e   o r   d o c t o r ?,d o c t o r
244,D a n   h a d   t o   s t o p   B i l l   f r o m   t o y i n g   w i t h   t h e   i n j u r e d   b i r d .   H e   i s   v e r y   c o m p a s s i o n a t e .,W h o   i s   c o m p a s s i o n a t e ?   D a n   o r   B i l l ?,D a n
245,D a n   h a d   t o   s t o p   B i l l   f r o m   t o y i n g   w i t h   t h e   i n j u r e d   b i r d .   H e   i s   v e r y   c r u e l .,W h o   i s   c r u e l ?   D a n   o r   B i l l ?,B i l l
246,"I   t r i e d   t o   p a i n t   a   p i c t u r e   o f   a n   o r c h a r d ,   w i t h   l e m o n s   i n   t h e   l e m o n   t r e e s ,   b u t   t h e y   c a m e   o u t   l o o k i n g   m o r e   l i k e   l i g h t   b u l b s .",W h a t   l o o k e d   l i k e   l i g h t   b u l b s ?   l e m o n s   o r   t r e e s ?,l e m o n s
247,"I   t r i e d   t o   p a i n t   a   p i c t u r e   o f   a n   o r c h a r d ,   w i t h   l e m o n s   i n   t h e   l e m o n   t r e e s ,   b u t   t h e y   c a m e   o u t   l o o k i n g   m o r e   l i k e   t e l e p h o n e   p o l e s .",W h a t   l o o k e d   l i k e   t e l e p h o n e   p o l e s ?   l e m o n s   o r   t r e e s ?,t r e e s
248,J a m e s   a s k e d   R o b e r t   f o r   a   f a v o r   b u t   h e   r e f u s e d .,W h o   r e f u s e d ?   R o b e r t   o r   J a m e s ?,R o b e r t
249,J a m e s   a s k e d   R o b e r t   f o r   a   f a v o r   b u t   h e   w a s   r e f u s e d .,W h o   w a s   r e f u s e d ?   R o b e r t   o r   J a m e s ?,J a m e s
250,K i r i l o v   c e d e d   t h e   p r e s i d e n c y   t o   S h a t o v   b e c a u s e   h e   w a s   m o r e   p o p u l a r .,W h o   w a s   m o r e   p o p u l a r ?   S h a t o v   o r   K i r i l o v ?,S h a t o v
251,K i r i l o v   c e d e d   t h e   p r e s i d e n c y   t o   S h a t o v   b e c a u s e   h e   w a s   l e s s   p o p u l a r .,W h o   w a s   l e s s   p o p u l a r ?   S h a t o v   o r   K i r i l o v ?,K i r i l o v
252,E m m a   d i d   n o t   p a s s   t h e   b a l l   t o   J a n i e   a l t h o u g h   s h e   w a s   o p e n .,W h o   w a s   o p e n ?   J a n i e   o r   E m m a ?,J a n i e
253,E m m a   d i d   n o t   p a s s   t h e   b a l l   t o   J a n i e   a l t h o u g h   s h e   s a w   t h a t   s h e   w a s   o p e n .,W h o   s a w   t h a t   t h e   o t h e r   p l a y e r   w a s   o p e n ?   J a n i e   o r   E m m a ?,E m m a
254,J o e   s a w   h i s   b r o t h e r   s k i i n g   o n   T V   l a s t   n i g h t   b u t   t h e   f o o l   d i d n ' t   r e c o g n i z e   h i m,W h o   i s   t h e   f o o l ?   J o e   o r   b r o t h e r ?,J o e
255,J o e   s a w   h i s   b r o t h e r   s k i i n g   o n   T V   l a s t   n i g h t   b u t   t h e   f o o l   d i d n ' t   h a v e   a   c o a t   o n,W h o   i s   t h e   f o o l ?   J o e   o r   b r o t h e r ?,b r o t h e r
256,C a r o l   b e l i e v e d   t h a t   R e b e c c a   s u s p e c t e d   t h a t   s h e   h a d   s t o l e n   t h e   w a t c h .,W h o   i s   s u s p e c t e d   o f   s t e a l i n g   t h e   w a t c h ?   C a r o l   o r   R e b e c c a ?,C a r o l
257,C a r o l   b e l i e v e d   t h a t   R e b e c c a   r e g r e t t e d   t h a t   s h e   h a d   s t o l e n   t h e   w a t c h .,W h o   i s   s t o l e   t h e   w a t c h ?   C a r o l   o r   R e b e c c a ?,R e b e c c a
258,"A l i c e   l o o k e d   f o r   h e r   f r i e n d   J a d e   i n   t h e   c r o w d .   S i n c e   s h e   a l w a y s   h a s   g o o d   l u c k ,   A l i c e   s p o t t e d   h e r   q u i c k l y .",W h o   a l w a y s   h a s   g o o d   l u c k   A l i c e   o r   J a d e ?,A l i c e
259,"A l i c e   l o o k e d   f o r   h e r   f r i e n d   J a d e   i n   t h e   c r o w d .   S i n c e   s h e   a l w a y s   w e a r s   a   r e d   t u r b a n ,   A l i c e   s p o t t e d   h e r   q u i c k l y .",W h o   a l w a y s   w e a r s   a   r e d   t u r b a n   A l i c e   o r   J a d e ?,J a d e
260,"D u r i n g   a   g a m e   o f   t a g ,   E t h a n   c h a s e d   L u k e   b e c a u s e   h e   w a s   "" i t "" .","W h o   w a s   "" i t "" ?   E t h a n   o r   L u k e ?",E t h a n
261,"D u r i n g   a   g a m e   o f   t a g ,   E t h a n   r a n   f r o m   L u k e   b e c a u s e   h e   w a s   "" i t "" .","W h o   w a s   "" i t "" ?   E t h a n   o r   L u k e ?",L u k e
